전략,시나리오,CAGR(%),누적수익(%),MDD(%),비용(만원),비용/원금(%),비용/총자산(%),월평균회전(종목),평균매수비율,평균매도비율
M2,기본,-0.97,-9.67,-32.56,50.3,5.03,5.27,4.02,0.0001,0.0004
M2,슬리피지x2,-0.97,-9.7,-32.56,50.6,5.06,5.31,4.02,0.0001,0.0004
M2,슬리피지x3,-0.98,-9.83,-32.58,50.9,5.09,5.34,4.02,0.0001,0.0004
M2,매도비용+0.1%p,-1.19,-11.79,-32.87,68.3,6.83,7.19,4.02,0.0001,0.0004
K1,기본,0.29,3.09,-30.7,54.1,5.41,4.99,4.02,0.0002,0.0005
K1,슬리피지x2,0.29,3.09,-30.7,54.5,5.45,5.02,4.02,0.0002,0.0005
K1,슬리피지x3,0.29,3.08,-30.71,54.6,5.46,5.03,4.02,0.0002,0.0005
K1,매도비용+0.1%p,0.08,0.87,-31.26,72.7,7.27,6.72,4.02,0.0002,0.0005
K3,기본,1.11,12.31,-25.08,55.7,5.57,4.73,4.02,0.0002,0.0006
K3,슬리피지x2,1.11,12.29,-25.08,56.0,5.6,4.75,4.02,0.0002,0.0006
K3,슬리피지x3,1.11,12.28,-25.08,56.1,5.61,4.76,4.02,0.0002,0.0006
K3,매도비용+0.1%p,0.89,9.7,-25.25,74.5,7.45,6.36,4.02,0.0002,0.0006
PBR,기본,3.55,44.17,-28.16,68.7,6.87,4.55,3.1,0.0003,0.0011
PBR,슬리피지x2,3.53,43.94,-28.18,69.8,6.98,4.62,3.1,0.0003,0.0011
PBR,슬리피지x3,3.52,43.77,-28.2,70.7,7.07,4.69,3.1,0.0003,0.0011
PBR,매도비용+0.1%p,3.39,41.89,-28.18,89.6,8.96,5.94,3.1,0.0003,0.0011
