그리드,파라미터,값,CAGR(%),MDD(%),누적수익(%)
M2_모멘텀기간,momentum_window,6,0.53,-28.19,5.72
M2_모멘텀기간,momentum_window,9,2.38,-26.0,27.96
M2_모멘텀기간,momentum_window,12,2.5,-30.2,29.53
M2_모멘텀기간,momentum_window,18,1.51,-29.68,16.98
M2_모멘텀기간,momentum_window_SPREAD,진단,1.97,-30.2,
M2_종목수,n_stocks,20,3.25,-28.87,39.74
M2_종목수,n_stocks,30,2.5,-30.2,29.53
M2_종목수,n_stocks,40,2.43,-30.7,28.54
M2_종목수,n_stocks,50,3.2,-31.81,39.06
M2_종목수,n_stocks_SPREAD,진단,0.82,-31.81,
M2_교체율,max_turnover,0.3,2.5,-30.2,29.53
M2_교체율,max_turnover,0.5,2.5,-30.2,29.53
M2_교체율,max_turnover,0.7,2.41,-29.99,28.39
M2_교체율,max_turnover,1.0,2.48,-30.02,29.2
M2_교체율,max_turnover_SPREAD,진단,0.09,-30.2,
M2_MA윈도우,ma_window,150,2.49,-30.21,29.45
M2_MA윈도우,ma_window,200,2.5,-30.2,29.53
M2_MA윈도우,ma_window,250,2.62,-30.28,31.13
M2_MA윈도우,ma_window_SPREAD,진단,0.13,-30.28,
K1_종목수,n_stocks,20,0.0,0.0,0.0
K1_종목수,n_stocks,30,0.0,0.0,0.0
K1_종목수,n_stocks,40,0.0,0.0,0.0
K1_종목수,n_stocks,50,0.0,0.0,0.0
K1_종목수,n_stocks_SPREAD,진단,0.0,0.0,
K1_교체율,max_turnover,0.3,0.0,0.0,0.0
K1_교체율,max_turnover,0.5,0.0,0.0,0.0
K1_교체율,max_turnover,0.7,0.0,0.0,0.0
K1_교체율,max_turnover,1.0,0.0,0.0,0.0
K1_교체율,max_turnover_SPREAD,진단,0.0,0.0,
K1_MA윈도우,ma_window,150,0.0,0.0,0.0
K1_MA윈도우,ma_window,200,0.0,0.0,0.0
K1_MA윈도우,ma_window,250,0.0,0.0,0.0
K1_MA윈도우,ma_window_SPREAD,진단,0.0,0.0,
K3_종목수,n_stocks,20,0.0,0.0,0.0
K3_종목수,n_stocks,30,0.0,0.0,0.0
K3_종목수,n_stocks,40,0.0,0.0,0.0
K3_종목수,n_stocks,50,0.0,0.0,0.0
K3_종목수,n_stocks_SPREAD,진단,0.0,0.0,
K3_교체율,max_turnover,0.3,0.0,0.0,0.0
K3_교체율,max_turnover,0.5,0.0,0.0,0.0
K3_교체율,max_turnover,0.7,0.0,0.0,0.0
K3_교체율,max_turnover,1.0,0.0,0.0,0.0
K3_교체율,max_turnover_SPREAD,진단,0.0,0.0,
PBR_종목수,n_stocks,20,4.31,-36.63,55.57
PBR_종목수,n_stocks,30,5.09,-36.63,68.19
PBR_종목수,n_stocks,40,5.09,-36.63,68.19
PBR_종목수,n_stocks,50,5.09,-36.63,68.19
PBR_종목수,n_stocks_SPREAD,진단,0.78,-36.63,
PBR_교체율,max_turnover,0.3,5.09,-36.63,68.19
PBR_교체율,max_turnover,0.5,5.09,-36.63,68.19
PBR_교체율,max_turnover,0.7,5.0,-36.68,66.77
PBR_교체율,max_turnover,1.0,4.3,-35.61,55.47
PBR_교체율,max_turnover_SPREAD,진단,0.79,-36.68,
PBR_리밸런싱,rebalance_freq,monthly,4.03,-28.51,51.34
PBR_리밸런싱,rebalance_freq,quarterly,5.09,-36.63,68.19
PBR_리밸런싱,rebalance_freq_SPREAD,진단,1.06,-36.63,
